Name,Agent,State,Notes,Created,Runtime,Sweep,dataset,experiment.comment,experiment.name,model,rigl.const_fan_in,rigl.dense_allocation,training.seed,accuracy,training.dry_run,training.epochs,training.gamma,training.init_lr,training.log_interval,training.lr,training.momentum,training.no_cuda,training.optimizer,training.save_model,training.scheduler,training.step_size,training.test_batch_size,training.warm_up_steps,training.weight_decay,wandb.entity,wandb.project,wandb.start_method,paths.base,Learning Rate,acc,epoch,los,loss,new high score,test,run_id
wide_resnet22_cifar10_sweep_0.5_False,bd0dcg2j,finished,-,2022-06-08T03:08:39.000Z,17089.0,4hsfzsa9,cifar10,sweep_0.5_False,wide_resnet22_cifar10_sweep_0.5_False,wide_resnet22,False,0.5,42,0.9439,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1965303701694633,,,
wide_resnet22_cifar10_sweep_0.5_False,4gzb504w,finished,-,2022-06-08T03:08:34.000Z,17126.0,4hsfzsa9,cifar10,sweep_0.5_False,wide_resnet22_cifar10_sweep_0.5_False,wide_resnet22,False,0.5,2078,0.9456,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1945448261553392,,,
wide_resnet22_cifar10_sweep_0.5_False,iwzqfawx,finished,-,2022-06-08T02:58:39.000Z,2709.0,4hsfzsa9,cifar10,sweep_0.5_False,wide_resnet22_cifar10_sweep_0.5_False,wide_resnet22,False,0.5,7303,0.9433,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1959846520231687,,,
wide_resnet22_cifar10_sweep_0.5_False,w9hlspuw,finished,-,2022-06-08T02:47:44.000Z,6191.0,4hsfzsa9,cifar10,sweep_0.5_False,wide_resnet22_cifar10_sweep_0.5_False,wide_resnet22,False,0.5,6037,0.9439,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1972844594935764,,,
wide_resnet22_cifar10_sweep_0.5_False,daalrzlx,finished,-,2022-06-08T02:39:06.000Z,4522.0,4hsfzsa9,cifar10,sweep_0.5_False,wide_resnet22_cifar10_sweep_0.5_False,wide_resnet22,False,0.5,8746,0.9461,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1955051725515292,,,
wide_resnet22_cifar10_sweep_0.4_False,iwzqfawx,finished,-,2022-06-08T02:13:17.000Z,2717.0,4hsfzsa9,cifar10,sweep_0.4_False,wide_resnet22_cifar10_sweep_0.4_False,wide_resnet22,False,0.4,42,0.9427,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1940634439185451,,,
wide_resnet22_cifar10_sweep_0.4_False,iwzqfawx,finished,-,2022-06-08T01:26:45.000Z,2707.0,4hsfzsa9,cifar10,sweep_0.4_False,wide_resnet22_cifar10_sweep_0.4_False,wide_resnet22,False,0.4,2078,0.9449,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2000918893887603,,,
wide_resnet22_cifar10_sweep_0.4_False,daalrzlx,finished,-,2022-06-08T01:23:39.000Z,4523.0,4hsfzsa9,cifar10,sweep_0.4_False,wide_resnet22_cifar10_sweep_0.4_False,wide_resnet22,False,0.4,7303,0.9453,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1976998764412128,,,
wide_resnet22_cifar10_sweep_0.4_False,w9hlspuw,finished,-,2022-06-08T00:57:50.000Z,6587.0,4hsfzsa9,cifar10,sweep_0.4_False,wide_resnet22_cifar10_sweep_0.4_False,wide_resnet22,False,0.4,6037,0.9419,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2018298871103854,,,
wide_resnet22_cifar10_sweep_0.4_False,iwzqfawx,finished,-,2022-06-08T00:41:32.000Z,2708.0,4hsfzsa9,cifar10,sweep_0.4_False,wide_resnet22_cifar10_sweep_0.4_False,wide_resnet22,False,0.4,8746,0.9439,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.195669405324661,,,
wide_resnet22_cifar10_sweep_0.3_False,daalrzlx,finished,-,2022-06-08T00:07:39.000Z,4554.0,4hsfzsa9,cifar10,sweep_0.3_False,wide_resnet22_cifar10_sweep_0.3_False,wide_resnet22,False,0.3,42,0.9451,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1887763961512479,,,
wide_resnet22_cifar10_sweep_0.3_False,iwzqfawx,finished,-,2022-06-07T23:56:24.000Z,2705.0,4hsfzsa9,cifar10,sweep_0.3_False,wide_resnet22_cifar10_sweep_0.3_False,wide_resnet22,False,0.3,2078,0.9401,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1938848207911942,,,
wide_resnet22_cifar10_sweep_0.3_False,w9hlspuw,finished,-,2022-06-07T23:12:27.000Z,6238.0,4hsfzsa9,cifar10,sweep_0.3_False,wide_resnet22_cifar10_sweep_0.3_False,wide_resnet22,False,0.3,7303,0.9421,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2020980519274759,,,
wide_resnet22_cifar10_sweep_0.3_False,iwzqfawx,finished,-,2022-06-07T23:09:45.000Z,2713.0,4hsfzsa9,cifar10,sweep_0.3_False,wide_resnet22_cifar10_sweep_0.3_False,wide_resnet22,False,0.3,6037,0.9419,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.199227212629767,,,
wide_resnet22_cifar10_sweep_0.3_False,daalrzlx,finished,-,2022-06-07T22:51:27.000Z,4566.0,4hsfzsa9,cifar10,sweep_0.3_False,wide_resnet22_cifar10_sweep_0.3_False,wide_resnet22,False,0.3,8746,0.9455,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1955566575224162,,,
wide_resnet22_cifar10_sweep_0.2_False,zwea6c25,finished,-,2022-06-07T22:26:52.000Z,17655.0,4hsfzsa9,cifar10,sweep_0.2_False,wide_resnet22_cifar10_sweep_0.2_False,wide_resnet22,False,0.2,42,0.9396,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2039493331570644,,,
wide_resnet22_cifar10_sweep_0.2_False,4gzb504w,finished,-,2022-06-07T22:26:22.000Z,16926.0,4hsfzsa9,cifar10,sweep_0.2_False,wide_resnet22_cifar10_sweep_0.2_False,wide_resnet22,False,0.2,2078,0.9401,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2013549830903619,,,
wide_resnet22_cifar10_sweep_0.2_False,28ikhsvl,finished,-,2022-06-07T22:26:18.000Z,17004.0,4hsfzsa9,cifar10,sweep_0.2_False,wide_resnet22_cifar10_sweep_0.2_False,wide_resnet22,False,0.2,7303,0.9396,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2016765427152939,,,
wide_resnet22_cifar10_sweep_0.2_False,bd0dcg2j,finished,-,2022-06-07T22:24:49.000Z,17025.0,4hsfzsa9,cifar10,sweep_0.2_False,wide_resnet22_cifar10_sweep_0.2_False,wide_resnet22,False,0.2,6037,0.9422,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.193469409371374,,,
wide_resnet22_cifar10_sweep_0.2_False,iwzqfawx,finished,-,2022-06-07T22:23:53.000Z,2750.0,4hsfzsa9,cifar10,sweep_0.2_False,wide_resnet22_cifar10_sweep_0.2_False,wide_resnet22,False,0.2,8746,0.9416,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1957196406799019,,,
wide_resnet22_cifar10_sweep_0.05_False,iwzqfawx,finished,-,2022-06-07T21:35:42.000Z,2886.0,4hsfzsa9,cifar10,sweep_0.05_False,wide_resnet22_cifar10_sweep_0.05_False,wide_resnet22,False,0.05,42,0.9169,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2567397719178232,,,
wide_resnet22_cifar10_sweep_0.05_False,daalrzlx,finished,-,2022-06-07T21:33:47.000Z,4574.0,4hsfzsa9,cifar10,sweep_0.05_False,wide_resnet22_cifar10_sweep_0.05_False,wide_resnet22,False,0.05,2078,0.9131,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2671192290806677,,,
wide_resnet22_cifar10_sweep_0.05_False,w9hlspuw,finished,-,2022-06-07T21:28:32.000Z,6232.0,4hsfzsa9,cifar10,sweep_0.05_False,wide_resnet22_cifar10_sweep_0.05_False,wide_resnet22,False,0.05,7303,0.9165,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2533522460276726,,,
wide_resnet22_cifar10_sweep_0.05_False,daalrzlx,finished,-,2022-06-07T20:17:27.000Z,4574.0,4hsfzsa9,cifar10,sweep_0.05_False,wide_resnet22_cifar10_sweep_0.05_False,wide_resnet22,False,0.05,6037,0.9156,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2513820047627669,,,
wide_resnet22_cifar10_sweep_0.05_False,daalrzlx,finished,-,2022-06-07T18:58:31.000Z,4656.0,4hsfzsa9,cifar10,sweep_0.05_False,wide_resnet22_cifar10_sweep_0.05_False,wide_resnet22,False,0.05,8746,0.9179,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2474768499690573,,,
wide_resnet22_cifar10_sweep_0.01_False,daalrzlx,finished,-,2022-06-07T17:40:42.000Z,4586.0,4hsfzsa9,cifar10,sweep_0.01_False,wide_resnet22_cifar10_sweep_0.01_False,wide_resnet22,False,0.01,42,0.8478,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.4391421944156289,,,
wide_resnet22_cifar10_sweep_0.01_False,daalrzlx,finished,-,2022-06-07T16:21:08.000Z,4690.0,4hsfzsa9,cifar10,sweep_0.01_False,wide_resnet22_cifar10_sweep_0.01_False,wide_resnet22,False,0.01,2078,0.847,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.4388163888290525,,,
wide_resnet22_cifar10_sweep_0.01_False,daalrzlx,finished,-,2022-06-07T15:03:34.000Z,4569.0,4hsfzsa9,cifar10,sweep_0.01_False,wide_resnet22_cifar10_sweep_0.01_False,wide_resnet22,False,0.01,7303,0.8504,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.433746882628277,,,
wide_resnet22_cifar10_sweep_0.01_False,daalrzlx,finished,-,2022-06-07T13:45:49.000Z,4582.0,4hsfzsa9,cifar10,sweep_0.01_False,wide_resnet22_cifar10_sweep_0.01_False,wide_resnet22,False,0.01,6037,0.8395,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.4677450298547744,,,
wide_resnet22_cifar10_sweep_0.5_True,daalrzlx,finished,-,2022-06-07T12:26:57.000Z,4673.0,4hsfzsa9,cifar10,sweep_0.5_True,wide_resnet22_cifar10_sweep_0.5_True,wide_resnet22,True,0.5,42,0.9482,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1833057981291989,,,
wide_resnet22_cifar10_sweep_0.5_True,daalrzlx,finished,-,2022-06-07T11:08:15.000Z,4667.0,4hsfzsa9,cifar10,sweep_0.5_True,wide_resnet22_cifar10_sweep_0.5_True,wide_resnet22,True,0.5,2078,0.9464,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1923746048017798,,,
wide_resnet22_cifar10_sweep_0.5_True,daalrzlx,finished,-,2022-06-07T09:49:39.000Z,4651.0,4hsfzsa9,cifar10,sweep_0.5_True,wide_resnet22_cifar10_sweep_0.5_True,wide_resnet22,True,0.5,7303,0.9473,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1927339883797685,,,
wide_resnet22_cifar10_sweep_0.5_True,daalrzlx,finished,-,2022-06-07T08:27:13.000Z,4892.0,4hsfzsa9,cifar10,sweep_0.5_True,wide_resnet22_cifar10_sweep_0.5_True,wide_resnet22,True,0.5,6037,0.9467,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1922292853472157,,,
wide_resnet22_cifar10_sweep_0.5_True,daalrzlx,finished,-,2022-06-07T07:06:04.000Z,4809.0,4hsfzsa9,cifar10,sweep_0.5_True,wide_resnet22_cifar10_sweep_0.5_True,wide_resnet22,True,0.5,8746,0.9444,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1925667325638263,,,
wide_resnet22_cifar10_sweep_0.4_True,daalrzlx,finished,-,2022-06-07T05:45:00.000Z,4807.0,4hsfzsa9,cifar10,sweep_0.4_True,wide_resnet22_cifar10_sweep_0.4_True,wide_resnet22,True,0.4,42,0.9461,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1879811351528173,,,
wide_resnet22_cifar10_sweep_0.4_True,daalrzlx,finished,-,2022-06-07T04:26:19.000Z,4664.0,4hsfzsa9,cifar10,sweep_0.4_True,wide_resnet22_cifar10_sweep_0.4_True,wide_resnet22,True,0.4,2078,0.9462,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1955299681394244,,,
wide_resnet22_cifar10_sweep_0.4_True,awufzi7x,finished,-,2022-06-07T03:12:35.000Z,34413.0,4hsfzsa9,cifar10,sweep_0.4_True,wide_resnet22_cifar10_sweep_0.4_True,wide_resnet22,True,0.4,7303,0.939,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2165521884523041,,,
wide_resnet22_cifar10_sweep_0.4_True,daalrzlx,finished,-,2022-06-07T03:05:20.000Z,4803.0,4hsfzsa9,cifar10,sweep_0.4_True,wide_resnet22_cifar10_sweep_0.4_True,wide_resnet22,True,0.4,6037,0.9443,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1923126100866458,,,
wide_resnet22_cifar10_sweep_0.4_True,daalrzlx,finished,-,2022-06-07T01:44:52.000Z,4772.0,4hsfzsa9,cifar10,sweep_0.4_True,wide_resnet22_cifar10_sweep_0.4_True,wide_resnet22,True,0.4,8746,0.9426,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1962440915991377,,,
wide_resnet22_cifar10_sweep_0.3_True,daalrzlx,finished,-,2022-06-07T00:25:12.000Z,4722.0,4hsfzsa9,cifar10,sweep_0.3_True,wide_resnet22_cifar10_sweep_0.3_True,wide_resnet22,True,0.3,42,0.9433,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1899267060062644,,,
wide_resnet22_cifar10_sweep_0.3_True,daalrzlx,finished,-,2022-06-06T23:05:30.000Z,4723.0,4hsfzsa9,cifar10,sweep_0.3_True,wide_resnet22_cifar10_sweep_0.3_True,wide_resnet22,True,0.3,2078,0.9436,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1960141152050113,,,
wide_resnet22_cifar10_sweep_0.3_True,daalrzlx,finished,-,2022-06-06T21:45:48.000Z,4724.0,4hsfzsa9,cifar10,sweep_0.3_True,wide_resnet22_cifar10_sweep_0.3_True,wide_resnet22,True,0.3,7303,0.9403,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2032375047108304,,,
wide_resnet22_cifar10_sweep_0.3_True,daalrzlx,finished,-,2022-06-06T20:26:01.000Z,4732.0,4hsfzsa9,cifar10,sweep_0.3_True,wide_resnet22_cifar10_sweep_0.3_True,wide_resnet22,True,0.3,6037,0.9451,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.1915039082208124,,,
wide_resnet22_cifar10_sweep_0.3_True,daalrzlx,finished,-,2022-06-06T19:05:57.000Z,4746.0,4hsfzsa9,cifar10,sweep_0.3_True,wide_resnet22_cifar10_sweep_0.3_True,wide_resnet22,True,0.3,8746,0.9417,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2003505621080578,,,
wide_resnet22_cifar10_sweep_0.2_True,daalrzlx,finished,-,2022-06-06T17:46:07.000Z,4727.0,4hsfzsa9,cifar10,sweep_0.2_True,wide_resnet22_cifar10_sweep_0.2_True,wide_resnet22,True,0.2,42,0.9385,False,250.0,0.2,1e-06,10.0,0.1,0.9,,sgd,True,step_lr,30000.0,10.0,5.0,0.0005,condensed-sparsity,condensed-rigl,thread,,0.0008,,250.0,,0.2035825452098171,,,
